 ,3.000
.,3.060
< ,6.720
J,4.680
X,8.640
f,4.020
t,3.360
‚,4.020
,9.300
ž,5.340
¬,6.720
º,3.780
È,7.320
Ö,8.640
ä,5.340
ò,6.000
-,4.020
;,3.360
I,4.020
W,11.340
e,5.340
s,4.680
,9.300
,9.300
,9.300
«,6.000
¹,3.660
Ç,7.980
Õ,8.640
ã,5.340
ñ,6.000
ÿ,6.000
",",3.060
:,3.360
H,8.640
V,8.640
d,6.000
r,4.020
€,6.000
Ž,7.320
œ,8.640
ª,3.360
¸,4.020
Æ,10.620
Ô,8.640
â,5.340
ð,6.000
þ,6.000
+,6.720
9,6.000
G,8.640
U,8.640
c,5.340
q,6.000
,9.300
,9.300
›,4.020
©,9.180
·,4.020
Å,8.640
Ó,8.640
á,5.340
ï,3.360
ý,6.000
*,6.000
8,6.000
F,6.660
T,7.320
b,6.000
p,6.000
~,6.540
Œ,10.620
š,4.680
¨,4.020
¶,5.400
Ä,8.640
Ò,8.640
à,5.340
î,3.360
ü,6.000
),4.020
7,6.000
E,7.320
S,6.660
a,5.340
o,6.000
},5.760
‹,4.020
™,11.760
§,6.000
µ,6.900
Ã,8.640
Ñ,8.640
ß,6.000
í,3.360
û,6.000
(,4.020
6,6.000
D,8.640
R,7.980
`,4.020
n,6.000
|,2.340
Š,6.660
˜,4.020
¦,2.340
´,4.020
Â,8.640
Ð,8.640
Þ,6.660
ì,3.360
ú,6.000
',2.100
5,6.000
C,7.980
Q,8.640
_,6.000
m,9.300
{,5.760
‰,12.000
—,12.000
¥,6.000
³,3.660
Á,8.640
Ï,4.020
Ý,8.640
ë,5.340
ù,6.000
&,9.300
4,6.000
B,7.980
P,6.660
^,5.640
l,3.360
z,5.340
ˆ,4.020
–,6.000
¤,6.000
²,3.660
À,8.640
Î,4.020
Ü,8.640
ê,5.340
ø,6.000
%,9.900
3,6.000
A,8.640
O,8.640
],4.020
k,6.000
y,6.000
‡,6.000
•,4.260
£,6.000
±,6.600
¿,5.340
Í,4.020
Û,8.640
é,5.340
÷,6.600
$,6.000
2,6.000
@,10.980
N,8.640
\,3.300
j,3.360
x,6.000
†,6.000
”,5.340
¢,6.000
°,4.800
¾,9.000
Ì,4.020
Ú,8.640
è,5.340
ö,6.000
#,6.000
1,6.000
?,5.340
M,10.620
[,4.020
i,3.360
w,8.640
…,12.000
“,5.340
¡,4.020
¯,6.000
½,9.000
Ë,7.320
Ù,8.640
ç,5.340
õ,6.000
"""",4.920
0,6.000
> ,6.720
L,7.320
Z,7.320
h,6.000
v,6.000
„,5.340
’,4.020
,3.000
®,9.180
¼,9.000
Ê,7.320
Ø,8.640
æ,7.980
ô,6.000
!,4.020
/,3.360
=,6.720
K,8.640
Y,8.640
g,6.000
u,6.000
ƒ,6.000
‘,4.020
Ÿ,8.640
­,4.020
»,6.000
É,7.320
×,6.720
å,5.340
ó,6.000
